Sentiment,SentimentText
2,Following on from the UK's newest royal baby @NationalGallery posts painting of original Queen Charlotte: https://t.co/wtBa6Gfai1
2,"Ooh, this looks good - Jackson Pollock exhibition opens @tateliverpool 30th June http://t.co/74WzAzjotq http://t.co/1CQzS3x3Kl"
2,Nothing to do with football this one... its just a tiny bit exciting @tateliverpool #Pollock http://t.co/TUmZb6F7Gp
2,TY / M @Seygnovert Also follow @LoudenStudio @NYAcademyofArt @NationalGallery 2017 Abstract Film Program
2,@NationalGallery EXPO BOISSONNET FRENCH ARTIST PARIS 2016   1958 http://t.co/Zjkmp4cpXm
2,"Piero della Francesca, The #Baptism of #Christ 1448–50 #London @NationalGallery tempera su tavola cm 168×116 #river http://t.co/Se8YCaxtsB"
2,#ILoveMuseums as they provide fantastic opportunities to #ExploreYourSubject as a prospective applicant for #university! @CamUnivMuseums
2,Castle Hill Open Day – @kettlesyard http://t.co/Cqd05Eqbm5
2,Fantastic performance by Kerry Yong after @beatricegibson film as part of @FL_FLAMIN evnt on Sat @_theWhitechapel http://t.co/IDkceOIoB6
2,.@NationalGallery #AskTheGallery http://t.co/xUWjRy64jU
2,@britishmuseum @JHGHendriks Wasn't that the Grand Old Duke of York?
2,@britishmuseum smooch!
2,#ARTiculation speakers are presenting @britishmuseum with @arthistorians  http://t.co/pM6OT0phoN
2,@britishmuseum सुडौल ख़ूबसूरती
2,"I'll be talking about The Greeks in Southern Italy at @britishmuseum tomorrow, Rm 73, 1.15pm. Happy memories of #Gravina #archaeology"
2,One of my favourite artefacts from one of my favourite museums @MAACambridge ! https://t.co/vsc3l73QuR
2,HAPPY BIRTHDAY TO MY MAIN MAN (sorry @DanDiPiero) 400 YEARS YOUNG TODAY (in his great selfie from @NationalGallery) ! http://t.co/zL1yMv4Izb
2,#FF Happy weekend! @CommunityArchae @britishmuseum @PyBossa @chancock_na @joshuathogue
2,@NationalGallery Lovely choice!
2,"Jackson pollock and Glenn Ligon opening tomorrow at @tateliverpool great combo, both beautiful #NotToBeMissed"
2,@_TheWhitechapel @mitpress @monoskop http://t.co/dTz66QJhGz
2,@emmalbowkett @_TheWhitechapel Its Best thing about photography I guess :)
2,"""@britishmuseum: Ancient Egyptians placed amulets onto mummies to harness supernatural powers  They have this eye everywhere."
2,@kdastgirkhan @nationalgallery hmmmmmmm nice
2,Good to see you yesterday &amp; all the work in progress @flocktognews @wordpressdotcom The @ThelmaHulbert is coming together
2,Looking forward to the #GlennLigon talk at @tateliverpool this afternoon :-)
2,"Portrait of Doge Leonardo Loredan - Giovanni Bellini, 1501 (On display @NationalGallery) http://t.co/PedW4mdjJV"
2,Well worth catching before it ends early July #DefiningBeauty @britishmuseum http://t.co/qxIn5W7k9a
2,Come to c it @tateliverpool staying @hotelindigo with @TravelBird_UK &amp; choose to go on #dazzleferry @MerseyFerries  https://t.co/B0UM0raumJ
2,"Tomorrow I'll have a London #art day, starting @TPGallery , then @britishmuseum and afterwards the @royalacademy . A strong dose of art! :-)"
2,@britishmuseum Did Napoleon have to have bandages on his haemorrhoids changed during the battle? Or just a myth? #Waterloo200
2,"@MuseeLouvre @museiincomune @leCMN @GoldUnveiled @britishmuseum @MarDixon @Museo_MADRE Magnificent, would love to learn more about this hand"
2,"Get your child's creative juices flowing at 'Imagination Station Special: Paper Picnic Time', tom'row at @PlymouthMuseum - 10.30-12, FREE!"
2,"""A great modern British institution"" - great piece from the @guardian on the fantastic @tateliverpool : http://t.co/wm6Es7gk69"
2,...al vil óleo @MilenioYucatan @revistayucatan @CulturaYucatan @SejuveYuc @GranMMM @NationalGallery @gobiernoyucatan http://t.co/BhDhnzWN4V
2,@britishmuseum  podría tratarse de la divinidad fenicia del cereal?
2,@britishmuseum Excelente colección!
2,"Tomorrow: @_TheWhitechapel Gallery Children’s Commission goes on display, featuring work by Brazilian artist Rivane Neuenschwander"
2,@HistoryGems @britishmuseum gives me the shivers every time I see this #aweinspiring
2,"A peachy morning at the excellent ""Defining Beauty"" exhibition @britishmuseum"
2,"@britishmuseum May there be Peace in the North. South. East &amp; West. May there be Peace throughout the world. Druid summer solstice, AH Rite"
2,@_TheWhitechapel One of my 5 favourite places for contemporary art ! Great discovery today ! #artinlondon #gallery http://t.co/zAOImhy7JG
2,Buzzing on WINGIT #LDN RT @PeytonandByrne It's wine o'clock at the National Cafe with oliverpeyton @nationalgallery tonight - half price...
2,#ff @JoeHReportage @JoannaEdenMusic @kevinhenry88 @KentwellHall @kettlesyard @EssexLibraries @looetic @law_saffron @LS_Fitness
2,Great night in Cambridge with the Zugubal dancers from the Torres Strait! @MAACambridge http://t.co/HidjzmWvgA
2,@_TheRowanTree_ Thank you. Have a lovely weekend x @sewingcircus @SewBloominHappy @tateliverpool @FACT_Liverpool @LarksVintage
2,@AdamKoszary @BW_126 Liking @RAMMuseum 's use of Instagram to show behind the scenes &amp; things visitors might miss on a visit. #InstaMuseum
2,We made a virtual @britishmuseum for our games art students work http://t.co/BUxCb2nov9
2,Off for a meet @RAMMuseum about some really exciting stuff for #exeter grey day will be #beautiful #breakfastofkings http://t.co/lRwKbGxOLk
2,@CamUnivMuseums @ilovemuseum I love Museums because they remind us that others before found a way to survive and also Periwigs  are great:)
2,#Cambridge will not be the same for my next visits but I look forward to the results! @kettlesyard @rorieborealis  https://t.co/0spfnIyHiK
2,"The monumental 'Italian Woman' is by Corot, although he was best known as a landscape pai... http://t.co/mUzceCnoTK via @NationalGallery"
2,#cfp #conference 'negotiating art. dealers and museums' @NationalGallery #london april 2016: http://t.co/xhh2iqURte
2,Hidden watercolour treasures go on display at @FitzMuseum_UK - http://t.co/Yz5DTi4jGU http://t.co/4jG25VK2bi
2,@britishmuseum turquoise eyes!!!
2,saw Indigenous Australia exhibition @britishmuseum superbly presented but with harrowing vision of colonisation http://t.co/oLM2iQRLvh
2,Weekend of last chances feat. Modern Heroism: Printmaking and the legacy of Napoleon @FitzMuseum_UK &amp; Richard Billingham @Townergallery #art
2,Thank you for the #FF @BHandL @GTroopRHA @sinonevero @suzilove @ThelmaHulbert @LansonLoyalty @AntiqueMag @BHL_valuer @trueyankees
2,@britishmuseum @JSuhermanBailey this seems quite clear in the copy. Unfair to take that one word &amp; apply to entire thing.
2,@britishmuseum why did Napoleon keep using columns against British line? #Waterloo200
2,#ff @CamUnivMuseums @CuriosityFair @ecstasyofwilko @wilkojohnson @CanveyIsIand @CIFC @CICC100 @DorringtonsLtd @DirectorySW @DrenchLtd
2,"Don't miss @Tate_StIves' Material Histories seminar, inc. #Linder &amp; Dawn Ades in conversation http://t.co/BLyfFRn04G http://t.co/OzAHd8W2J8"
2,Would this be of interest @Objects2015 @ArtatARB @kettlesyard ? https://t.co/DQjQEKi0It
2,"#IndigenousAustralia at @britishmuseum is beautiful, enlightening and thought-provoking. Well worth a visit!"
2,"@FitzMuseum_UK ta, the release we were sent wasn't clear, but will amend that now"
2,The Place's subtle dance piece performed with AgeUK @britishmuseum Defining Beauty exhibition didn't really work; bring back the bacchantes?
2,PICTURES: #EnidBlyton #exhibition in #Plymouth #Museum | http://t.co/FtjyJcgsAV via @WMNNews #devon @PlymouthMuseum http://t.co/syuU8tNXMq
2,One of Ch. Shivaji's original portrait is housed in @britishmuseum http://t.co/zlcdNxpQGA #MarathiLondon http://t.co/pXiXzTiVV4
2,Ooo we bet this was good @britishmuseum! #presentfilms https://t.co/iqVGoqG1Wh
2,In London?  Missing Cleveland?  Then get thee to the @NationalGallery for this elite show: http://t.co/icLbKnjHLx
2,"@kettlesyard PPL of CAMBRIDGE/PETERBOROUGH!! Final casting week, don't be shy! Filming July 13th-17th. E claire.gellard@shiver.tv RT"
2,THE TWEETETTES TIMES is out! http://t.co/hxrjtCGx9J Stories via @britishmuseum
2,"Now Showing: Images Moving Out Onto Space, work from eight artists spanning 50 years @Tate_StIves https://t.co/P0pXGOfCP3"
2,"#NG365 Willem Duyster's ""Soldiers Fighting Over Booty in a Barn"" (c.1623-24) @NationalGallery #art http://t.co/Emj3mGrD2Q"
2,Press view at @tateliverpool for #jacksonpollock #blindspots http://t.co/aEzjmkbGv1
2,A lot of the scholarly establishment will dismiss these as modern ideas inapplicable to the material &gt; @foxvertebrae @britishmuseum
2,Jackson Pollock press view @tateliverpool and some lovely themed spattered cupcakes http://t.co/lr567edB1H
2,"Books, films, Greeks, coffee, curry. Perfect Saturday with @ml42. @britishmuseum @Foyles @FoppCovent @monmouthcoffee @Dishoom @CurzonBbury"
2,"@RathfernPS Had a brilliant(but tiring)trip to the @britishmuseum with Nebula class today,very well behaved great ambassadors for the school"
2,@69quietgirl @britishmuseum Excellent point. Just add the lack of decent medical services and suspect water supplies and the present is fine
2,@NationalGallery #AskTheGallery Nicholas Penny pls reinstate Candy Unwin who a judge confirmed  was sacked for Trade Union activism
2,Turner at @museugulbenkian @NationalGallery http://t.co/xyoRrqd45w
2,in #Cambridge today? check out Castle Hill Open Day http://t.co/n1gW9gmfXQ  @kettlesyard #CastleHill15 @MuseumofCamb http://t.co/VymNZlDKZj
2,Lovely afternoon at the @britishmuseum - amazing! Thank you for keeping our museums free.
2,@kettlesyard  we miss you too!
2,@tateliverpool @richard51185877 What a great idea THANK YOU  Liverpool such a great City with amazing History which I study
2,@britishmuseum @TripAdvisor Well deserved. Congratulations.
2,"I would say this, but you should come and see Christopher Williams @_TheWhitechapel before it closes on Sunday."
2,Spending my Sunday morning roaming the Indigenous Australia exhibition :) (at @BritishMuseum) https://t.co/Ui05Xf3c5D
2,@britishmuseum How is this a mystery when the tweet identifies them as 'ancient Greek bronze greaves from 500 BC'? Genuinely confused...
2,"@britishmuseum @TripAdvisor Thing to do in London today? Take action to end scam, lie of austerity. http://t.co/mcnS6UdU1z #endausteritynow"
2,"@NationalGallery A glimpse into #Tiepolo's inner world: MERCHANTS OF LIGHT, a new historical novel by Marta Maretich. http://t.co/J1RMRzia3p"
2,"Beatrice Gibson, Sarah Turner &amp; Larissa Sansour present materials that inspire their work @_TheWhitechapel Bk now! http://t.co/WyAVUVdbwL"
2,Hadrian! We're off to visit his wall next! @britishmuseum w/ @bquentin3 &amp; zada_beda thanks to… https://t.co/nixI2mU9ch
2,At the @NationalGallery looking at the picture by Matan Ben Cnaan. Winner of this year's BP competition
2,“@NationalGallery:  http://t.co/AQDBwifeZG http://t.co/RA5fZQNdUP” Such a good painting
2,@HackneyAbbott @NationalGallery @johnmcdonnellMP @pcs_union thanks Diane your presence &amp; contribution very much appreciated by strikers ;-)
2,"So me and @foxvertebrae went to the Defining Beauty exhibition at the @britishmuseum yesterday, and I thought I'd tweet some musings."
2,"@cheeky_maggy @britishmuseum wasn't that Nap III (Paris, I mean)?"
2,@NealSpencer_BM @britishmuseum Ahah! The place where I spent my Saturdays and Sundays out of my Wokhingham school and made cards....
2,Strikers at @Shell -sponsored @NationalGallery protest against #privatisation #kayaktivists #ShellNo @revbillytalen http://t.co/kLkbccLnFo
2,Last week of Defining Beauty @britishmuseum http://t.co/pHCW5DJOW1
2,Don't forget our AS &amp; A' Level 'Subject Tasters Week' coming this September across @CamUnivMuseums. Book your FREE place today 01223 332904
2,Do you have a burning question for @NationalGallery Director Nicholas Penny? Now's your chance to ask! #AskTheGallery
2,#FathiHassan #theOffering 2007 #photograph #photography @britishmuseum #photographycollection… https://t.co/iFgB2yD7wA
2,@britishmuseum Gorgeous
2,@britishmuseum  He looks thrilled.
2,"Summer of art happening! Audrey Hepburn @NPG, Barbara Hepworth @TateBritain, Summer exhibition @RAA and Pollock @TateLiverpool! Happy days!"
2,@britishmuseum Thank You :-)
2,“Every good painter paints what he is.” Jackson #Pollock coming soon @tateliverpool http://t.co/pu5O38k0GQ http://t.co/qvojc8RUNQ
2,Completed my week's dose of Ancient Greece 2night at @britishmuseum #DefiningBeauty expo. Quite a spectacle and not busy. Worth seeing.
2,Tonight (24/06) 6.30pm @Carousel_LDN discussion on collage in contemporary art with @_TheWhitechapel for our #BrooklynVsLondon exhibition.
2,@BM_AG #privateview @NationalGallery @HelenHillyard @artfund opening of the new Baroque galleries - amazing http://t.co/nfIDolC0fT
2,@_TheWhitechapel. Contemporary ad after Christopher Williams. http://t.co/GRPmEyYyHn
2,@britishmuseum I'm in. Who do I send my cv to? http://t.co/36Zu31T0Pw
2,"@NationalGallery C'mon, that could be anybody."
2,"Have you heard about Soundscapes? Hint: it's about paintings, DJs, museums, the @NationalGallery, &amp; it's pretty cool. http://t.co/KQWgdXn9LY"
2,@NationalGallery  : Cover Ulysses-nya Joyce karya Matisse : http://t.co/IoubnWlnCB
2,@KurtBravo @NationalGallery @Investigart @cipripedia Muy propio para hoy. He visto muchos San Juanitos hoy por las calles de Bejar
2,@britishmuseum can u fit in 140characters y learning abt #Waterloo200 is significant? Taken out of curriculum in NJ &amp; I'd like that changed!
2,Et à Sandro aussi @NationalGallery #venus #mars #botticelli http://t.co/aC4VNVKYvy
2,@britishmuseum Wimbledon starts to today any one for tennis.
2,or here https://t.co/R2tO79Easn .An in house solution proposed to meet flexibility needs. Come on @NationalGallery - it's time to TALK.
2,@jbouie Listened to Germany: Memories of a Nation podcasts from @britishmuseum? Many show efforts to grapple with brutal history.
2,'He broke it. He broke the lute'   http://t.co/qGlKYiPRKk   @NationalGallery http://t.co/GecwY9NhpQ
2,Looking forward to Age Friendly Museums Network tomorrow @britishmuseum presenting on @StrokeAssocLDN &amp; @HornimanMuseum partnership
2,"I'm at @BritishMuseum in London, Greater London https://t.co/9gF23U5r33"
2,{ @britishmuseum } #Napoleon #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics http://t.co/iuDGPRtcII
2,Superstition &amp; religion: 4-leafed clover encloses 'T' for Thomas Becket. #pilgrimbadges @britishmuseum @LloyddeBeer http://t.co/WhvW7lm5zQ
2,#Win tickets to Jackson #Pollock: Blind Spots at @tateliverpool! 5 pairs to #giveaway http://t.co/Wr19uS63rh    #art #Liverpool #comp
2,@NationalGallery @state_hermitage
2,Magic Carpet Storytelling @kidsinmuseums  @NationalGallery  https://t.co/95pUT0NPNR
2,"@JessHarri thank you for the RT, following you back, great to see the panelists in action at #DefeatingDepression @RAMMuseum"
2,Checking out the Art Corner in Queen Square this weekend? @FringeArtsBath @BathBoules @WeLoveBath @NOWBath @ICIABath http://t.co/Kii53DaHPT
2,風刺と言えばTEDトークでも言及した1640年代イギリスの企業独占批判。もはや人間ですらありませんw British Museum: Collection image gallery @britishmuseum http://t.co/mx5tMg6dN3
2,@PrintQuarterly  @Prntmakngonline @_TheWhitechapel @Museo_MAXXI
2,@AHistoricoMNA @britishmuseum
2,"Rayban_Outlet_65,Click_24 http://t.co/sMiDEXlzlK http://t.co/LREnUrzz6U @RAMGolfSociety @RAMIREZLUNA @RAMMuseum @RAMON1144 @RAMONGUTIERREZO"
2,"Form/process/context: ""space is a meeting point of histories"" @FL_FLAMIN Artist Sarah Turner in conversation w Karen Mirza @_TheWhitechapel"
2,"Job Desc.: ""3D Models"". Back at @britishmuseum today with the African Rock Art team... http://t.co/uClPF58nxM http://t.co/eAPA3BWd2j"
2,"""@britishmuseum: We’re here with #Bonaparte What about the importance of Napoleon and the Egyptian culture ?"
2,"I'm at @NationalGallery in London, Greater London w/ @sandersonabby https://t.co/qpuDgt1kzT http://t.co/iCWaQ24PbQ"
2,"Cup depicting Odysseus and a rather sad Achilles, via @britishmuseum archives http://t.co/r8udd0ktjb http://t.co/iLkvKnMhhR"
2,Explore the art of Castle Hill this Sat with a tour of the New Hall Art Collection @MECCambridge &amp; last chance to visit @kettlesyard
2,Reading @SStraine on mega-Pollock @tateliverpool in the @stylistmagazine certainly perked up the morning commute! http://t.co/6f9hTVkKQi
2,I just told @tate @britishmuseum @NPGLondon &amp; @RoyalOperaHouse to #DropBP Sponsorship. Join me: http://t.co/RBqHZy2rOo
2,This is one of the rooms @Tate_StIves Ravine Neuenschwander now well worth a visit u become part of it too? http://t.co/nXK7jfvFyp
2,Fantastic introduction to the re-displayed Baroque galleries @BM_AG today at pre-1900 European Paintings SSN Study Day with @NationalGallery
2,"@RAMMuseum RT Hi, Check out our crowdfunding campaign by Pauser http://t.co/jODvZVBWJ0 help us and create new #graffiti #streetart"
2,"@NationalGallery The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
2,@FitzMuseum_UK I would love to know the source
2,@FundforTeachers can't express gratitude 4 this visit inside our Art History 101 textbk! W/ @bquentin3 @britishmuseum http://t.co/P6Ev1q1J5O
2,Don't miss Christopher Williams' exhibition about photography @_TheWhitechapel #britaininsider @londonlivindoll http://t.co/DWxZvo7C9u
2,"@kettlesyard #SINCru's annual #HipHop #Theatre summer #show ""7,295 Silent Steps"" takes place 1st weekend of #July http://t.co/GCekGvK0Gz"
2,@britishmuseum @Nickuae why was it pejorative? Was it a comment about class?
2,@FourFeetFilms Enjoy! When Van Gogh lived here for a short while he wrote about his walks over the Thames to work and @NationalGallery.
2,Real life Iron #Throne #GameofThrones #GoT @britishmuseum http://t.co/sLCDbrx5rb
2,"John H. Taylor du @britishmuseum ""The collecting activities of Giovanni d'Athanasi"" #objetEgyptien http://t.co/4hCcd1nb6E"
2,@ICIABath we are trying to create Fun Palaces across Bath bringing science and arts together. Are you interested?  http://t.co/aU8gGTvDXp
2,#london @visitlondon @NationalGallery #awesome http://t.co/z4wYeXUBuI
2,@Godchecker @britishmuseum much better.
2,@samerelfidy @HistoryLibya @OsamaTashani @britishmuseum مشكلة لما تبدا متحمس وخاش بثقة وانت ماتندريش عليها
2,This morning students have been given some free time to explore Cambridge's museums. @CamUnivMuseums #ExploreYourSubject #SWOpenDay
2,@odonnellhugh @britishmuseum
2,"Very funny fast talking #MC @theiAwards - a great night, beautiful venue @NationalGallery"
2,Cannot believe 3 years in London &amp; it's my first visit to the British Museum! It's massive! @britishmuseum http://t.co/Qf9F0qTNkj
2,@kettlesyard YES! And we're very excited about completing our epic Tippett cycle with you tomorrow evening too!
2,#Win a pair of tickets to Jackson #Pollock: Blind Spots at @tateliverpool! http://t.co/Wr19uS63rh   #art #exhibition #Liverpool
2,@lothargoetz Mirror Image - a frieze of monoprints @Holeeditions @MertensFrames @_TheWhitechapel http://t.co/KGbnko2YoA
2,Hi @MAACambridge &amp; @TheMuseumOfLiz. Pls can you share our sponsored #Roman road walk with your followers? https://t.co/Hz9b4wZbVJ
2,.@tateliverpool's Blind Spots exploring Jackson Pollock's black pourings opens 30 June http://t.co/svG1IzgM9t http://t.co/Awml2oE2HL
2,"@city_calm you have a new follower, thank you for favouriting my RT. Really interesting panel #DefeatingDepression @RAMMuseum"
2,@NationalGallery #AskTheGallery What would you do to better adapt to the needs of foreign visitors?
2,Thank You 😘 RT @CCBMLov: @MidoriTakaki @Nantronica You ARE hopefully one day soon you will have your work at the @britishmuseum 😊
2,"@NationalGallery Tomorrow, history, art &amp; science collide during #FellowFriday with @ebdrago. Hope you can join us! http://t.co/hSb9vDspsz"
2,@NationalGallery  sexy porn sex with dance and sexual intercours https://t.co/YljzmBvSO9
2,"If you've got a spare fiver, @kettlesyard have almost reached their redevelopment funding target http://t.co/TEvhD5ICBq"
2,Discover The Arts with Social Media: NOHO Featured Artist Natalie Ryde https://t.co/Gl8amrJgwd @_TheWhitechapel #London #Art #Video
2,Christopher Williams: The Production Line of Happiness showing @_TheWhitechapel till June 21 http://t.co/x5kgjdszTX
2,"@HackneyAbbott @BarnetTradesCcl @NationalGallery @johnmcdonnellMP @pcs_union oh you won't get Ed to intervene, he hasn't with library cuts."
2,@FL_FLAMIN @nia_loves_films @_TheWhitechapel fantastic - thank you!
2,"@_TheWhitechapel ""Toward Parliament square at dusk"". I hope you all enjoy this painting. http://t.co/cjY46idGyJ http://t.co/ZKTDELAPkT"
2,The Dartmouth Museum Daily is out! http://t.co/DRFJjmT28J Stories via @FitzMuseum_UK @MuseumsAtNight @HilaryMcGowan
2,May have bought more stuff from the Mexican bit of the @britishmuseum :D http://t.co/XmvUJGIigx
2,@chemingineer @aaroo4 Saw it @NationalGallery (London) last year and looked for signs of damage but saw none. Conservationists deserve merit
2,Apotropaic! RT @britishmuseum: Today's #MysteryObject - ancient Greek bronze greaves 500 BC! http://t.co/IM4j6O3SkU http://t.co/jbNoLsd9qe
2,Go this week! @CreativeDebuts @FunkyArtGallery @GlobalArtAgency @ShoreditchHype @Brick_Lane_Art @_TheWhitechapel http://t.co/93FcNMiTUU
2,"@RAMMuseum  Hello. If you are interested in Kundalini, Enlightenment, Liberation, etc., check this:  https://t.co/N2mbD6Zrpf"
2,"""La Gare Saint-Lazare"" de Claude Monet @NationalGallery #London http://t.co/ctnlAZcU9M"
2,@Smerchant84 RT @lisamaythomas: The Touch Diaries trailer! https://t.co/TG6HPOQ4IK premiere 9th July @ICIABath @BathDance @theatrebristol
2,The @BritishMuseum has an 'Enlightenment' gallery. It's kind of the 'Batman Begins' of the place. http://t.co/y6cOmANylc
2,CEO Daniel Gandesha will be speaking at the @WiredUK money #startup event at @britishmuseum on 8th July: http://t.co/ssV9XuW9gN
2,#ChristopherWilliams The Production Line of Happiness @_TheWhitechapel on until Sunday. Dynamic &amp; refreshing http://t.co/fPla90shml
2,@ExeterLiving @MooseAllain @ThelmaHulbert Fab. :)
2,@britishmuseum heading to visit mummies and statues.
2,Dr Sculthorpe provides insightful talk to @artfund members about #IndigenousAustralia exhibition @britishmuseum http://t.co/J51wWzXSvf
2,The @RAMMuseum in Exeter is definitely worth a visit. They have a #Samurai! #ILoveMuseums @brinton83 @crazybird001  https://t.co/1OAGRLHmak
2,Visited the @FitzMuseum_UK today! Inspiration is everywhere :) http://t.co/xq3U4bvz3Y
2,F is for Funky Fiddle Leaf but also for the fabulous @FitzwilliamColl and @FitzMuseum_UK http://t.co/JUwM1VV89t
2,@MarcusRomer @kettlesyard @andrewnairne The truth is I had a brain freeze and couldn't remember your name.
2,"Brilliant Day, Loved drinking too much coffee with the lovely @lisajewelluk @NationalGallery"
2,Find great content producers on #Periscope like @britishmuseum http://t.co/9FJeQAZvXQ  @periscopeco @periscopetv http://t.co/PTx5tkaWvZ
2,"Entrance Hall of Royal Academy, Somerset House by George Johann Scharf 1836 (@britishmuseum). http://t.co/JkndjhmQc5"
2,"Congrats @samcurtisart, v exciting. Looking forward to the show. Starts 15th July - not to miss! @_TheWhitechapel"
2,Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/HZwcLEHrv1 por @britishmuseum
2,@kettlesyard - sparkling strings of  light adding to the ambience at Kettles Yard this sunny afternoon http://t.co/dVm0zpXXly
2,@NationalGallery Great 2 c #Rembrandt's back from loan in Rooms 23 &amp; 24 Missed them so much!
2,Crossing the red line. @fitzmuseum_uk @cambridgeuniversity #cambridgeuniversity #iphoneonly #shotoniphone6 #museum … http://t.co/lJ4s0syi3O
2,#Pollock review – this is art as nervous breakdown... and it's majestic http://t.co/2VuJL7t9BC via @guardian Until 18 October @tateliverpool
2,Friday off. Christopher Williams @_thewhitechapel #whitechapelgallery 👏🏻 https://t.co/b0hJLUxgg7
2,Great visit to the @britishmuseum yesterday. Expect photos.......
2,"@MorpethSch students got to try their hand at curating an exhibition @_TheWhitechapel yesterday, check it out http://t.co/Va9kAkGT2z"
2,Great day filming #Roman #gems @FitzMuseum_UK with @gassingabout. Watch this space for the finished video! http://t.co/nvf8kEVkJj
2,"@NationalGallery Director Nicholas Penny, why was Candy Udwin sacked for? was it because she is vocal about the Tory's plan #AskTheGallery"
2,@britishmuseum @Deirdre2_borgia Looks incredibly uncomfortable to wear...👢
2,"They did and they will: Coin minted in Amphipolis in #Greece 330 BC depicting Zeus, today in the @BritishMuseum. http://t.co/Vv0IsKfQR7"
